# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2499
#@/user_id	1994
a 	啊	c=3 d=0.30419 t=2499
ke 	殼	c=1 d=1 t=1086
ke 	磕	c=0 d=0.1 t=2000
ke bian 	可變	c=0 d=0.198511 t=1194
ke bian chang du 	可變長度	c=1 d=1 t=1195
ke bian shu zu 	可變數組	c=1 d=1 t=1192
ke duo shao 	磕多少	c=1 d=1 t=2001
ke jin 	嗑金	c=1 d=1 t=1990
ke neng 	可能	c=6 d=0.231999 t=2499
ke yi 	刻意	c=2 d=0.615697 t=2499
ke yi 	可以	c=14 d=1.38765 t=2499
ke yi kan kan 	可以看看	c=1 d=1 t=2148
ke yi le 	可以了	c=1 d=1 t=2248
ke yi li jie 	可以理解	c=0 d=0.1 t=2141
ke yi li jie wei 	可以理解爲	c=1 d=1 t=2142
ke yong 	可用	c=2 d=1.44709 t=1254
ke zhi xing 	可執行	c=0 d=0.155711 t=1135
ke zhi xing cheng xu 	可執行程序	c=1 d=1 t=1136
ke zhi xing wen jian 	可執行文件	c=2 d=1.91851 t=1036
ken ding 	肯定	c=1 d=1 t=1649
kong 	空	c=0 d=0.00297478 t=2499
kong ge 	空格	c=3 d=1.00508 t=2386
kong zhi tai 	控制檯	c=2 d=1.96079 t=2412
kong zhi zhen 	空指針	c=3 d=0.289431 t=2499
kou yin 	口音	c=0 d=0.1 t=2253
ku 	庫	c=1 d=1 t=2147
kuai 	塊	c=3 d=1.16149 t=2499
kuai 	快	c=0 d=0.1 t=1731
kuai dao le 	快到了	c=1 d=0.0816756 t=2499
kuai jie jian 	快捷鍵	c=1 d=1 t=1982
kuai su 	快速	c=0 d=0.1 t=1445
kuai su xiu fu 	快速修復	c=1 d=1 t=1446
kuai yi xie 	快一些	c=1 d=1 t=1732
kuo zhan 	擴展	c=2 d=0.0454183 t=2499
la 	啦	c=0 d=0.1 t=1020
lai de 	來的	c=0 d=0.0229925 t=2499
lai le 	來了	c=1 d=1 t=1603
lai ma 	來嗎	c=1 d=1 t=1436
lai yuan 	來源	c=1 d=0.238115 t=2499
lai zi 	來自	c=0 d=0.1 t=1868
lai zi zhe li 	來自這裏	c=1 d=1 t=1869
lang fei 	浪費	c=1 d=0.0776922 t=2499
lao ban 	老闆	c=0 d=0.1 t=2053
lao ban ben 	老版本	c=1 d=1 t=1094
le 	了	c=36 d=4.48536 t=2499
le ba 	了吧	c=1 d=0.111359 t=2499
le ma 	了嗎	c=0 d=0.0222017 t=2499
lei 	類	c=4 d=0.332991 t=2499
lei de 	類的	c=1 d=0.0459593 t=2499
lei si yu 	類似於	c=1 d=1 t=1053
li 	裏	c=5 d=0.281817 t=2499
li jie 	理解	c=0 d=0.1 t=1362
li lun shang 	理論上	c=1 d=0.0432828 t=2499
li mian 	裏面	c=1 d=1 t=2364
lian 	鏈	c=0 d=0.0115903 t=2499
liang bian 	兩邊	c=0 d=0.1 t=1103
liang bian xian shi 	兩邊顯示	c=1 d=1 t=1104
liang ge 	兩個	c=3 d=1.25124 t=2146
liang ge zi 	兩個字	c=1 d=1 t=2022
liang zhe 	兩者	c=1 d=1 t=2139
liao de 	聊得	c=1 d=1 t=2468
liao jie 	瞭解	c=1 d=0.0628837 t=2499
ling yi 	另一	c=1 d=1 t=1622
ling yi fang 	另一方	c=0 d=0.1 t=1245
ling yi fang na ge ma 	另一方那個嗎	c=1 d=1 t=1246
liu cheng 	流程	c=2 d=1.13064 t=2391
liu yi fei 	劉亦菲	c=3 d=2.10932 t=2499
lo 	咯	c=0 d=0.056836 t=2499
long hai 	龍海	c=3 d=1.23451 t=2499
lu jing 	路徑	c=9 d=0.759727 t=2499
luan qi ba zao 	亂七八糟	c=1 d=0.0880368 t=2499
luo ji 	邏輯	c=7 d=2.04019 t=2069
luo ji you guan xi 	邏輯有關係	c=1 d=1 t=1286
ma 	嗎	c=24 d=3.857 t=2499
ma fan 	麻煩	c=1 d=1 t=1333
ma ma 	媽媽	c=1 d=1 t=2438
ma shang 	馬上	c=1 d=1 t=1921
mai 	買	c=0 d=0.1 t=1752
mai de 	買的	c=0 d=0.00305009 t=2499
mai de shi hou 	買的時候	c=1 d=0.0306538 t=2499
mai zhe 	邁着	c=0 d=0.1 t=1751
mai zhe wan yi gan nan ma 	邁着萬一甘南嗎	c=1 d=1 t=1752
man heng 	蠻橫	c=0 d=0.00420036 t=2499
mang 	忙	c=0 d=0.1 t=1306
mao hao 	冒號	c=4 d=0.830104 t=2499
mao pi 	毛皮	c=1 d=1 t=1185
mao si 	貌似	c=1 d=0.25924 t=2499
me 	麼	c=1 d=1 t=1642
mei 	沒	c=6 d=0.828371 t=2499
mei ban fa 	沒辦法	c=1 d=0.017249 t=2499
mei ci 	每次	c=1 d=0.104784 t=2499
mei ci dou shi 	每次都是	c=1 d=0.0898153 t=2499
mei da ru 	沒打入	c=2 d=0.341492 t=2499
mei ding ne 	沒定呢	c=1 d=1 t=1633
mei dui shang 	沒對上	c=1 d=0.102284 t=2499
mei fa 	沒法	c=1 d=1 t=1415
mei ge 	每個	c=1 d=0.0372538 t=2499
mei guan xi 	沒關係	c=2 d=0.0398723 t=2499
mei ji ge 	沒幾個	c=1 d=1 t=1402
mei jin 	美金	c=1 d=0.0274607 t=2499
mei kan dao 	沒看到	c=1 d=1 t=2020
mei shang 	沒上	c=0 d=0.1 t=1329
mei shang chuan wan de 	沒上傳完的	c=1 d=1 t=1330
mei sheng xiao 	沒生效	c=3 d=1.76368 t=2499
mei shi 	沒事	c=1 d=0.585669 t=2499
mei tian 	每天	c=1 d=0.831104 t=2499
mei wen ti 	沒問題	c=4 d=1.00602 t=2499
mei wen ti de 	沒問題的	c=1 d=1 t=1597
mei xin xi 	沒信息	c=1 d=1 t=1372
mei yan jiu 	沒研究	c=1 d=0.460704 t=2499
mei yi 	每一	c=0 d=0.1 t=1930
mei yi hang 	每一行	c=1 d=1 t=1931
mei you 	沒有	c=9 d=1.79843 t=2499
mei you dong 	沒有動	c=1 d=1 t=1035
mei yu 	梅雨	c=0 d=0.00620385 t=2499
mei yu dao 	沒遇到	c=1 d=0.0629761 t=2499
mei yu dao guo de hua 	梅雨到過的話	c=1 d=0.0623495 t=2499
mei zhao dao 	沒找到	c=2 d=0.226557 t=2499
mei zhun 	沒準	c=1 d=0.890571 t=1319
mei zhun shi ta men zuo de 	沒準是他們做的	c=1 d=1 t=1320
men 	們	c=0 d=0.1 t=1319
mian de 	麪的	c=2 d=1.9802 t=1469
mian le 	免了	c=1 d=1 t=1463
mian shi 	面試	c=3 d=1.2669 t=1447
miao 	秒	c=0 d=0.088692 t=2499
miao chu lai 	秒出來	c=1 d=0.891366 t=2499
miao le 	秒了	c=1 d=0.0639279 t=2499
ming 	名	c=1 d=1 t=1916
ming bai 	明白	c=1 d=0.343009 t=2499
ming ling 	命令	c=12 d=0.236622 t=2499
ming ling hang 	命令行	c=1 d=1 t=1506
ming tian 	明天	c=3 d=0.951229 t=2499
mo ren 	默認	c=1 d=0.264477 t=2499
mo shi 	模式	c=2 d=1.10228 t=2390
mou 	某	c=5 d=2.3981 t=2127
mou ci 	某次	c=1 d=1 t=1457
mou ge 	某個	c=4 d=2.08363 t=1964
mou kuai 	某塊	c=1 d=0.970446 t=2499
mou xie 	某些	c=1 d=0.0675424 t=2499
mou xiu gai 	某修改	c=1 d=1 t=1813
mu lu 	目錄	c=9 d=0.894672 t=2499
mu qian 	目前	c=6 d=0.906996 t=2499
na 	那	c=1 d=0.442227 t=2499
na bian 	那邊	c=1 d=1 t=1260
na dao 	拿到	c=1 d=0.401752 t=2499
na dao de 	拿到的	c=1 d=0.377192 t=2499
na ge 	哪個	c=1 d=1 t=1032
na ge 	那個	c=10 d=1.18819 t=2499
na jiu 	那就	c=0 d=0.0794534 t=2499
na jiu cha zhe ge 	那就差這個	c=1 d=1 t=2282
na ke neng 	那可能	c=1 d=0.0658748 t=2499
na me 	那麼	c=1 d=0.774916 t=2499
na ni 	那你	c=0 d=0.1 t=1490
na ni guo le mei 	那你過了沒	c=1 d=1 t=1491
na shou 	那首	c=1 d=0.677057 t=2499
na wo 	拿我	c=1 d=0.0277367 t=2499
na wo 	那我	c=1 d=0.0280154 t=2499
na wo jiu 	那我就	c=0 d=0.1 t=2252
na wo jiu hao qi le 	那我就好奇了	c=1 d=1 t=2253
na xu qiu shi 	那需求是	c=1 d=0.018043 t=2499
na ye 	那也	c=0 d=0.00639279 t=2499
na ye xing le 	那也行了	c=1 d=0.0642483 t=2499
nan jing 	南京	c=1 d=0.878095 t=2499
ne 	呢	c=5 d=0.537178 t=2499
nei lian 	內聯	c=3 d=2.93635 t=1388
nei rong 	內容	c=3 d=1.0232 t=2483
neng 	能	c=8 d=1.10769 t=2499
neng mai 	能賣	c=0 d=0.1 t=1208
neng mai duo shao 	能賣多少	c=1 d=1 t=1209
ni 	你	c=15 d=6.13752 t=2499
ni bu shi 	你不是	c=1 d=1 t=1641
ni de 	你的	c=1 d=0.0327124 t=2499
ni dei 	你得	c=1 d=1 t=2430
ni dian nao 	你電腦	c=1 d=0.0417941 t=2499
ni gai de 	你改得	c=1 d=0.798516 t=2499
ni hai zi 	你孩子	c=1 d=1 t=1646
ni hao 	你好	c=11 d=2.45753 t=2499
ni he 	你和	c=0 d=0.1 t=1466
ni he shei 	你和誰	c=1 d=1 t=1467
ni kan kan 	你看看	c=1 d=1 t=1398
ni kan wan le 	你看完了	c=1 d=1 t=1429
ni men 	你們	c=7 d=0.494301 t=2499
ni men shi 	你們是	c=1 d=1 t=2134
ni na bian 	你那邊	c=1 d=1 t=1351
ni shi 	你是	c=3 d=0.691702 t=2499
ni shu chu 	你輸出	c=1 d=1 t=1111
ni shuo 	你說	c=1 d=1 t=1430
ni xian 	你先	c=1 d=0.105928 t=2499
ni yi ge 	你一個	c=0 d=0.0778801 t=2499
ni yi ge yi ge 	你一個一個	c=1 d=0.782705 t=2499
ni zhe ge 	你這個	c=3 d=0.303498 t=2499
ni zhi dao 	你知道	c=1 d=1 t=2055
ni zi ji 	你自己	c=1 d=1 t=1300
nian 	年	c=2 d=0.151031 t=2499
ning le 	擰了	c=1 d=0.99005 t=2499
niu bi 	牛逼	c=1 d=1 t=1978
nong 	弄	c=1 d=1 t=1765
nong cuo 	弄錯	c=0 d=0.0222017 t=2499
nong cuo le ma 	弄錯了嗎	c=1 d=0.22313 t=2499
o 	哦	c=2 d=0.985141 t=2499
o cha jian 	哦插件	c=1 d=0.332871 t=2499
o le 	哦了	c=2 d=0.625002 t=2499
o o 	哦哦	c=12 d=1.12894 t=2499
ou 	偶	c=1 d=1 t=1929
ou niao 	鷗鳥	c=0 d=0.00248475 t=2499
ou niao gui hua an 	鷗鳥規劃案	c=1 d=0.024972 t=2499
ou xian 	偶現	c=5 d=0.349594 t=2499
ou xian de 	偶現的	c=2 d=0.305795 t=2499
pai 	拍	c=1 d=0.0278757 t=2499
pai cha 	排查	c=2 d=0.282279 t=2499
pai cha xia 	排查下	c=1 d=0.0281559 t=2499
pan duan 	判斷	c=2 d=1.13876 t=1944
pao 	跑	c=1 d=0.110835 t=2163
pao bu 	跑步	c=1 d=1 t=2119
pao tong 	跑通	c=1 d=1 t=2392
pao tong le 	跑通了	c=1 d=1 t=2164
pei 	配	c=1 d=0.995012 t=2499
pei zhi 	配置	c=9 d=0.711899 t=2499
pi pei 	匹配	c=4 d=0.126818 t=2499
pin 	品	c=0 d=0.1 t=1755
pin duo duo 	品多多	c=1 d=1 t=1756
pin jie 	拼接	c=5 d=2.06143 t=1747
ping gu 	評估	c=1 d=1 t=2451
ping heng 	平衡	c=2 d=1.9802 t=2021
ping shi 	平時	c=1 d=1 t=1807
qi 	起	c=1 d=1 t=2083
qi dong 	啓動	c=1 d=1 t=1431
qi lai 	起來	c=1 d=0.726171 t=2499
qi shi 	其實	c=2 d=0.0407622 t=2499
qi ta 	其他	c=4 d=0.995472 t=2499
qian ming 	簽名	c=1 d=0.0176857 t=2499
qian ti 	前提	c=1 d=0.38868 t=2499
qian zhui 	前綴	c=1 d=1 t=2384
qiang 	強	c=0 d=0.1 t=2234
qiang yi lai yu 	強依賴於	c=1 d=1 t=2235
qiang zhi 	強制	c=2 d=0.8068 t=2499
qie 	且	c=1 d=0.718924 t=2499
qie 	切	c=1 d=0.179066 t=2499
qie dao 	切到	c=0 d=0.00473589 t=2499
qie dao le 	切到了	c=1 d=0.0475963 t=2499
qie huan 	切換	c=2 d=0.0134335 t=2499
qing 	請	c=0 d=0.1 t=2117
qing jiao 	請教	c=0 d=0.1 t=2064
qing jiao xia 	請教下	c=1 d=1 t=2065
qing kong 	清空	c=0 d=0.00332068 t=2499
qing kong yi xia 	清空一下	c=1 d=0.0333733 t=2499
qing qiu 	請求	c=1 d=1 t=1359
qing yu nian 	請餘年	c=1 d=1 t=2118
qing zai 	請在	c=1 d=1 t=1947
qu 	去	c=1 d=1 t=1643
quan shi 	全是	c=1 d=0.319819 t=2499
que ding 	確定	c=0 d=0.00459593 t=2499
qun mian 	羣麪	c=1 d=1 t=1452
ran hou 	然後	c=9 d=0.933064 t=2499
ran shen 	然神	c=1 d=1 t=1011
rang 	讓	c=4 d=1.42263 t=2499
rang da 	讓打	c=1 d=1 t=2075
rang ta 	讓他	c=1 d=1 t=1042
rang ta men 	讓他們	c=1 d=0.786628 t=2499
re xiu 	熱修	c=3 d=1.72553 t=2224
ren 	人	c=1 d=1 t=1317
ren 	認	c=2 d=0.265803 t=2499
ren cai 	人才	c=1 d=0.0131019 t=2499
ren wu 	任務	c=2 d=1.97045 t=2080
ri zhi 	日誌	c=3 d=0.068276 t=2499
ri zi 	日子	c=0 d=0.1 t=1659
ru 	入	c=1 d=1 t=1336
ru 	如	c=1 d=1 t=1958
ru can 	入參	c=1 d=1 t=1065
ru gu 	入股	c=1 d=0.331211 t=2499
ru guo 	如果	c=4 d=0.29523 t=2499
ru he 	如何	c=18 d=3.53148 t=2499
san 	三	c=0 d=0.0752014 t=2499
san de 	三德	c=1 d=0.759572 t=2499
san de yan se 	三的顏色	c=1 d=0.755784 t=2499
san ge 	三個	c=2 d=0.0167392 t=2499
san jian 	三件	c=0 d=0.00144076 t=2499
san jian tao 	三件套	c=3 d=0.0489463 t=2499
sao 	掃	c=0 d=0.00306538 t=2499
sao zhe ge 	掃這個	c=1 d=0.0308074 t=2499
sha 	啥	c=0 d=0.0140302 t=2499
sha de 	啥的	c=1 d=0.0361528 t=2499
sha de 	殺得	c=1 d=0.0359725 t=2499
sha gong si 	啥公司	c=1 d=1 t=1638
sha shi hou 	啥時候	c=0 d=0.0612626 t=2499
sha shi hou bang mang 	啥時候幫忙	c=1 d=0.615697 t=2499
sha ye 	啥也	c=0 d=0.1 t=2003
sha ye bu kan 	啥也不看	c=1 d=1 t=2004
sha yi si 	啥意思	c=1 d=0.18452 t=2499
sha yuan yin 	啥原因	c=2 d=0.0953692 t=2499
sha zhuang bei 	啥裝備	c=1 d=1 t=2087
shan chu 	刪除	c=6 d=4.68218 t=1684
shan diao 	刪掉	c=1 d=0.090718 t=2499
shang 	上	c=2 d=1.63763 t=1321
shang chuan 	上傳	c=1 d=1 t=1374
shang de 	上的	c=1 d=0.0420036 t=2499
shang qu le 	上去了	c=2 d=1.00203 t=2260
shao deng 	稍等	c=1 d=1 t=2427
she zhi 	設置	c=3 d=0.608279 t=2499
she zhi wei 	設置爲	c=0 d=0.1 t=1888
shei 	誰	c=1 d=0.464219 t=1466
shen er 	甚而	c=0 d=0.0044601 t=2499
shen me 	什麼	c=7 d=1.25123 t=2499
shen me yi si 	什麼意思	c=1 d=0.56836 t=2499
shen ti 	身體	c=0 d=0.1 t=1939
sheng cheng 	生成	c=3 d=1.48863 t=2328
sheng de 	生的	c=0 d=0.0865022 t=2499
sheng de shi hou 	生的時候	c=1 d=0.869358 t=2499
sheng ji 	升級	c=4 d=0.427873 t=2499
sheng ji yi xia 	升級一下	c=1 d=0.154896 t=2499
sheng xiao 	生效	c=1 d=0.0289384 t=2499
shi 	是	c=47 d=4.54195 t=2499
shi 	時	c=2 d=0.251565 t=1895
shi ba 	是吧	c=1 d=1 t=2005
shi bai 	失敗	c=1 d=0.0972957 t=2499
shi bai yuan yin 	失敗原因	c=1 d=1 t=2149
shi bu 	是不	c=2 d=0.0685632 t=2499
shi bu shi 	是不是	c=11 d=2.07262 t=2499
shi bu shi jiu bu dui le 	是不是就不對了	c=1 d=1 t=2425
shi de 	是的	c=2 d=1.9802 t=1353
shi fou 	是否	c=8 d=3.04161 t=1542
shi fou cun zai 	是否存在	c=1 d=1 t=1241
shi gei 	是給	c=1 d=0.522046 t=2499
shi gen 	實根	c=1 d=0.111917 t=2499
shi gen 	是跟	c=1 d=0.113042 t=2499
shi he 	適合	c=0 d=0.1 t=2057
shi he ne mou 	適合呢某	c=1 d=1 t=2058
shi hou 	時候	c=2 d=0.924198 t=2499
shi jian 	事件	c=0 d=0.1 t=1537
shi jian 	時間	c=1 d=0.0780817 t=2499
shi jian chuo 	時間戳	c=1 d=1 t=1073
shi jie 	世界	c=1 d=1 t=2046
shi kong de 	是空的	c=1 d=1 t=1437
shi pei 	適配	c=5 d=1.14002 t=2499
shi pin 	視頻	c=1 d=1 t=2093
shi shei 	是誰	c=1 d=1 t=2051
shi shi 	試試	c=2 d=0.0497871 t=2499
shi ta 	是他	c=0 d=0.1 t=1319
shi xian 	實現	c=1 d=1 t=1150
shi yin wei 	是因爲	c=1 d=0.286505 t=2499
shi yong 	使用	c=1 d=1 t=1106
shi yong 	實用	c=1 d=0.65377 t=2499
shi you 	是有	c=0 d=0.1 t=2303
shi you shen me 	是有什麼	c=1 d=1 t=2304
shi zai na 	是在哪	c=1 d=1 t=2198
shi zhe li 	是這裏	c=1 d=0.217621 t=2499
shi zhi 	是指	c=1 d=1 t=2183
shou ji 	手機	c=1 d=0.0198411 t=2499
shou lian 	收斂	c=0 d=0.0465334 t=2499
shou lian qi lai 	收斂起來	c=1 d=0.467666 t=2499
shou shu 	手術	c=2 d=1.99501 t=1575
shou you 	手遊	c=1 d=1 t=2019
shu chu 	輸出	c=1 d=1.00885 t=1595
shu ju 	數據	c=2 d=1 t=2499
shu ru 	輸入	c=1 d=0.0608101 t=2499
shu ru fa 	輸入法	c=2 d=1.2865 t=1368
shu xi 	熟悉	c=0 d=0.1 t=1761
shu xi shu xi 	熟悉熟悉	c=1 d=1 t=1762
shu zi 	數字	c=1 d=1 t=1077
shu zu 	數組	c=1 d=1.056 t=1191
shua 	刷	c=0 d=0.0891366 t=2499
shui ping 	水平	c=1 d=0.574072 t=2499
shuo 	說	c=3 d=1.02089 t=2460
shuo ming 	說明	c=2 d=0.559695 t=2499
si jie 	思傑	c=1 d=1 t=2450
si liao 	私聊	c=1 d=1 t=1172
su zhu 	宿主	c=17 d=4.61375 t=2499
sui shou 	隨手	c=1 d=1.0802 t=1313
sui shou yi sou 	隨手一艘	c=1 d=1 t=1314
suo yi 	所以	c=8 d=1.36393 t=2499
suo yin 	索引	c=1 d=0.0356146 t=2499
suo you 	所有	c=5 d=1.42468 t=2499
ta 	他	c=3 d=0.133958 t=2499
ta an zhao 	他按照	c=1 d=0.227638 t=2499
ta de 	他的	c=1 d=0.268942 t=2499
ta hui 	他會	c=1 d=1 t=1712
ta ji ge 	他幾個	c=1 d=0.123687 t=2499
ta men 	它們	c=2 d=0.036631 t=2499
ta ye hui 	他也會	c=1 d=0.0238732 t=2499
ta yuan lai 	他原來	c=1 d=1 t=2417
ta za da de 	他咋答的	c=1 d=1 t=1472
tai jiu 	太久	c=1 d=0.117068 t=2499
tai jiu 	太舊	c=1 d=0.119433 t=2499
tai lao le 	太老了	c=1 d=0.158817 t=2499
tai lei le 	太累了	c=3 d=2.06597 t=2081
tai ma fan 	太麻煩	c=0 d=0.00862936 t=2499
tai ma fan le 	太麻煩了	c=1 d=0.0867261 t=2499
tai nan le 	太難了	c=1 d=0.579842 t=2499
tai qiang le 	太強了	c=1 d=1 t=1767
tai xin 	太新	c=1 d=0.117655 t=2499
tai xin le 	太新了	c=1 d=0.115325 t=2499
tai yuan 	太原	c=2 d=1.97531 t=1497
tao 	套	c=1 d=0.0702995 t=2499
tao tai 	淘汰	c=1 d=1 t=1974
te shi tuan 	特使團	c=1 d=1 t=1460
te shu 	特殊	c=1 d=0.913931 t=2499
teng xun 	騰訊	c=1 d=1 t=2091
ti 	題	c=1 d=1 t=1143
ti gong 	提供	c=0 d=0.1 t=1419
ti gong le 	提供了	c=1 d=1 t=1420
ti huan 	替換	c=3 d=1.38827 t=1846
ti jiao 	提交	c=1 d=1 t=1400
ti sheng 	提升	c=1 d=1 t=1296
ti shi 	提示	c=2 d=0.0239928 t=2499
ti xu 	體恤	c=1 d=0.0845849 t=2499
tian 	天	c=1 d=1 t=2043
tian jia 	添加	c=1 d=1 t=1957
tian kong 	天空	c=0 d=0.1 t=2105
tian kong ma 	天空嗎	c=1 d=1 t=2106
tiao 	挑	c=1 d=1 t=1312
tiao ban 	跳板	c=2 d=1.99501 t=1371
tiao guo 	跳過	c=1 d=0.0213864 t=2499
tiao he 	跳河	c=1 d=1 t=1498
tiao jian 	條件	c=1 d=1 t=1669
tiao le 	跳了	c=1 d=1 t=1494
tiao shi 	調試	c=3 d=2.41309 t=2408
tiao zhuan 	跳轉	c=3 d=0.107639 t=2499
ting 	聽	c=1 d=0.70822 t=2499
ting hao de 	挺好的	c=1 d=0.818731 t=2499
ting ting 	聽聽	c=1 d=0.697676 t=2499
ting wan 	聽完	c=1 d=0.782705 t=2499
ting zhe 	聽着	c=1 d=0.722527 t=2499
tong guo 	通過	c=5 d=1.04317 t=2499
tong le 	通了	c=0 d=0.1 t=2163
tong xue 	同學	c=1 d=1 t=2244
tong yang de 	同樣地	c=1 d=1 t=2323
tong yi ge 	同一個	c=1 d=1 t=2346
tu 	吐	c=1 d=0.83527 t=2499
tu 	圖	c=2 d=1.17962 t=2399
tu xing 	圖形	c=2 d=1.99501 t=1412
tu yi 	圖一	c=1 d=0.0531307 t=2499
tuan ben 	團本	c=1 d=1 t=2042
wa er te 	瓦爾特	c=0 d=0.0299692 t=2499
wan 	完	c=1 d=1.00235 t=2079
wan 	玩	c=1 d=0.737123 t=2499
wan 	萬	c=0 d=0.1 t=2053
wan cheng 	完成	c=3 d=2.12704 t=2227
wan dian 	晚點	c=1 d=1 t=2486
wan lao ban 	萬老闆	c=1 d=1 t=2054
wan le 	完了	c=2 d=0.975398 t=2499
wan quan 	完全	c=2 d=1.02612 t=2143
wan yi 	萬一	c=0 d=0.1 t=1751
wang le 	忘了	c=1 d=0.431711 t=2499
wei 	爲	c=5 d=0.647951 t=2499
wei hu 	維護	c=2 d=1.24293 t=2052
wei kong 	爲空	c=2 d=1.06361 t=1946
wei le 	爲了	c=1 d=1 t=2078
wei sha 	爲啥	c=0 d=0.0293767 t=2499
wei sha yao 	爲啥要	c=1 d=0.0163259 t=2499
wei xin 	微信	c=1 d=0.0135686 t=2499
wen ben 	文本	c=1 d=1 t=1631
wen dang 	文檔	c=2 d=1.02975 t=2270
wen guo 	問過	c=0 d=0.1 t=1301
wen guo bie ren de wen ti 	問過別人的問題	c=1 d=1 t=1302
wen jian 	文件	c=23 d=1.78436 t=2499
wen le 	問了	c=0 d=0.1 t=1317
wen le ma 	問了嗎	c=1 d=1 t=1318
wen ti 	問題	c=8 d=2.05127 t=2499
wen wen 	問問	c=1 d=0.00608101 t=2499
wen wen ni 	問問你	c=1 d=0.0611149 t=2499
wen xia 	問下	c=1 d=1 t=2095
wo 	我	c=12 d=1.70077 t=2499
wo bang 	我幫	c=0 d=0.1 t=2207
wo bang wo 	我幫我	c=1 d=1 t=2208
wo cao 	我操	c=1 d=1 t=2429
wo cheng gong 	我成功	c=1 d=1 t=2272
wo chu zhong 	我初中	c=1 d=0.701173 t=2499
wo da 	我打	c=0 d=0.1 t=2317
wo da yi ge 	我打一個	c=1 d=1 t=2318
wo de 	我的	c=4 d=0.477312 t=2499
wo fa xian 	我發現	c=1 d=0.0290133 t=2499
wo gou wu 	我購物	c=1 d=1 t=1754
wo gui nv 	我閨女	c=1 d=1 t=1943
wo ji de 	我記得	c=1 d=0.0889323 t=2499
wo ji de shi 	我記得是	c=1 d=0.211189 t=2499
wo jin tian 	我今天	c=1 d=0.891366 t=2499
wo jiu 	我就	c=0 d=0.1 t=1079
wo jiu xiang kan kan 	我就想看看	c=1 d=1 t=1080
wo kan kan 	我看看	c=2 d=0.538003 t=2499
wo kan le xia 	我看了下	c=1 d=0.071719 t=2499
wo li jie xu yao 	我理解需要	c=1 d=1 t=1363
wo mei 	我沒	c=2 d=1.70822 t=2264
wo men 	我們	c=3 d=0.0325381 t=2499
wo ming tian 	我明天	c=1 d=1 t=1609
wo shi 	我是	c=2 d=1.99501 t=1871
wo shi shi 	我試試	c=1 d=1 t=2207
wo suo 	我所	c=0 d=0.1 t=1732
wo suo you de 	我所有的	c=1 d=1 t=1733
wo xian zai 	我現在	c=1 d=1 t=1426
wo xiang 	我想	c=2 d=1.0535 t=1743
wo xiang de 	我想的	c=1 d=0.0405589 t=2499
wo xiang gao yi ge 	我想搞一個	c=1 d=1 t=1022
wo xiang mu 	我項目	c=1 d=0.0569831 t=2499
wo ye 	我也	c=0 d=0.1 t=1127
wo ye bu 	我也不	c=0 d=0.118919 t=2085
wo ye bu liao jie 	我也不瞭解	c=1 d=1 t=1128
wo ye bu mai 	我也不買	c=1 d=1 t=1753
wo ye bu tu 	我也不圖	c=1 d=1 t=2086
wo yi qian 	我以前	c=1 d=0.0893673 t=2499
wo yi si 	我意思	c=1 d=0.767206 t=2499
wo yi wei 	我以爲	c=1 d=1 t=1428
wo yi zhi 	我一直	c=1 d=0.275271 t=2499
wo yong 	我用	c=1 d=1 t=2287
wo yong de 	我用的	c=2 d=0.278323 t=2499
wo yong de zhe ge 	我用的這個	c=1 d=1 t=2204
wo you 	我有	c=0 d=0.1 t=1197
wo you yi ge 	我有一個	c=1 d=1 t=1198
wo zai 	我在	c=1 d=0.110065 t=2499
wo zai kan kan 	我在看看	c=2 d=0.701209 t=2499
wo zhe 	我這	c=0 d=0.019398 t=2499
wo zhe ge 	我這個	c=5 d=2.21996 t=2353
wo zhe ke yi 	我這可以	c=1 d=0.194952 t=2499
wo zhe li 	我這裏	c=4 d=0.816224 t=2499
wo zhe li ye shi 	我這裏也是	c=1 d=0.108609 t=2499
wo zhe shi 	我這是	c=1 d=1 t=1798
wo zhi 	我只	c=0 d=0.1 t=2347
wo zhi dao le 	我知道了	c=1 d=0.344728 t=2499
wo zhi gai le 	我只改了	c=1 d=1 t=2348
wo zhi qian 	我之前	c=1 d=1 t=2314
wu 	無	c=1 d=0.0194482 t=2499
wu can shu 	無參數	c=1 d=1 t=1793
wu chun nian 	無春年	c=1 d=1 t=1681
wu fa 	無法	c=2 d=1.01128 t=2239
wu nao 	無腦	c=1 d=0.918731 t=2076
wu nao da 	無腦打	c=1 d=1 t=2077
wu xiao 	無效	c=1 d=1 t=2447
wu xiu 	午休	c=1 d=0.0322254 t=2499
wu ya 	烏鴉	c=1 d=1 t=995
xi 	西	c=2 d=1.97045 t=1650
xi huan 	喜歡	c=0 d=0.0701173 t=2499
xi jie 	細節	c=1 d=0.0678809 t=2499
xi tong 	系統	c=1 d=0.0192547 t=2499
xia 	下	c=6 d=1.24354 t=2499
xia ban 	下班	c=0 d=0.0980199 t=2499
xia wu 	下午	c=1 d=1 t=1602
xia yu le 	下雨了	c=0 d=0.1 t=2379
xia zai 	下載	c=3 d=0.0678373 t=2499
xian 	先	c=2 d=0.0217994 t=2499
xian ba 	先把	c=1 d=0.0902655 t=2499
xian bu guan 	先不管	c=1 d=0.0141931 t=2499
