# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2592
#@/user_id	mac
a 	啊	c=3 d=0.191072 t=2592
kan cuo le 	看錯了	c=2 d=1.57407 t=2592
kan dai ma 	看代碼	c=1 d=1 t=2592
kan de 	看得	c=1 d=1 t=2592
kan ge 	看個	c=0 d=0.1 t=2592
kan jiu xing 	看就行	c=1 d=1 t=2592
kan kan 	看看	c=7 d=0.45671 t=2592
kan lai 	看來	c=0 d=0.1 t=2592
kan lai hai shi 	看來還是	c=1 d=1 t=2592
kan le 	看了	c=1 d=1 t=2592
kan le xia 	看了下	c=0 d=0.00713613 t=2592
kan ta 	看他	c=1 d=0.240508 t=2592
kan ta de 	看他的	c=1 d=0.236928 t=2592
kan wan le 	看完了	c=0 d=0.1 t=2592
kan xia 	看下	c=1 d=0.618783 t=2592
kan yang zi 	看樣子	c=1 d=0.946485 t=2592
kan zhe 	看着	c=3 d=0.298661 t=2592
kan zhuang bei 	看裝備	c=1 d=1 t=2592
kao bei 	拷貝	c=6 d=0.644036 t=2592
kao ping 	考評	c=0 d=0.00658748 t=2592
kao pu 	靠譜	c=1 d=0.0665368 t=2592
ke 	可	c=1 d=1 t=2592
ke 	殼	c=1 d=1 t=2592
ke 	磕	c=0 d=0.1 t=2592
ke bian 	可變	c=0 d=0.198511 t=2592
ke bian chang du 	可變長度	c=1 d=1 t=2592
ke bian shu zu 	可變數組	c=1 d=1 t=2592
ke duo shao 	磕多少	c=1 d=1 t=2592
ke jin 	嗑金	c=1 d=1 t=2592
ke neng 	可能	c=6 d=0.145727 t=2592
ke yi 	刻意	c=2 d=0.615697 t=2592
ke yi 	可以	c=16 d=2.36863 t=2592
ke yi kan kan 	可以看看	c=1 d=1 t=2592
ke yi le 	可以了	c=1 d=1 t=2592
ke yi li jie 	可以理解	c=0 d=0.1 t=2592
ke yi li jie wei 	可以理解爲	c=1 d=1 t=2592
ke yong 	可用	c=2 d=1.44709 t=2592
ke zhi xing 	可執行	c=0 d=0.155711 t=2592
ke zhi xing cheng xu 	可執行程序	c=1 d=1 t=2592
ke zhi xing wen jian 	可執行文件	c=2 d=1.91851 t=2592
ken ding 	肯定	c=1 d=1 t=2592
kong 	空	c=0 d=0.00297478 t=2592
kong ge 	空格	c=3 d=1.00508 t=2592
kong zhi tai 	控制檯	c=2 d=1.96079 t=2592
kong zhi zhen 	空指針	c=3 d=0.181802 t=2592
kou yin 	口音	c=0 d=0.1 t=2592
ku 	庫	c=1 d=1 t=2592
kuai 	塊	c=3 d=1.16149 t=2592
kuai 	快	c=0 d=0.1 t=2592
kuai dao le 	快到了	c=1 d=0.0816756 t=2592
kuai jie jian 	快捷鍵	c=1 d=1 t=2592
kuai su 	快速	c=1 d=0.73377 t=2592
kuai su xiu fu 	快速修復	c=1 d=1 t=2592
kuai yi xie 	快一些	c=1 d=1 t=2592
kuo zhan 	擴展	c=2 d=0.0454183 t=2592
la 	啦	c=0 d=0.1 t=2592
lai de 	來的	c=0 d=0.0229925 t=2592
lai le 	來了	c=1 d=1 t=2592
lai ma 	來嗎	c=1 d=1 t=2592
lai yuan 	來源	c=1 d=0.238115 t=2592
lai zi 	來自	c=0 d=0.1 t=2592
lai zi zhe li 	來自這裏	c=1 d=1 t=2592
lang fei 	浪費	c=1 d=0.0776922 t=2592
lao ban 	老闆	c=0 d=0.1 t=2592
lao ban ben 	老版本	c=1 d=1 t=2592
le 	了	c=36 d=3.64254 t=2592
le ba 	了吧	c=1 d=0.111359 t=2592
le ma 	了嗎	c=0 d=0.0222017 t=2592
lei 	類	c=4 d=0.232075 t=2592
lei de 	類的	c=1 d=0.0459593 t=2592
lei si yu 	類似於	c=1 d=1 t=2592
li 	裏	c=5 d=0.281817 t=2592
li jie 	理解	c=0 d=0.1 t=2592
li lun shang 	理論上	c=1 d=0.0432828 t=2592
li mian 	裏面	c=1 d=1 t=2592
lian 	鏈	c=0 d=0.0115903 t=2592
liang bian 	兩邊	c=0 d=0.1 t=2592
liang bian xian shi 	兩邊顯示	c=1 d=1 t=2592
liang ge 	兩個	c=3 d=1.25124 t=2592
liang ge zi 	兩個字	c=1 d=1 t=2592
liang zhe 	兩者	c=1 d=1 t=2592
liao de 	聊得	c=1 d=1 t=2592
liao jie 	瞭解	c=1 d=0.0628837 t=2592
ling yi 	另一	c=1 d=1 t=2592
ling yi fang 	另一方	c=0 d=0.1 t=2592
ling yi fang na ge ma 	另一方那個嗎	c=1 d=1 t=2592
liu cheng 	流程	c=2 d=1.13064 t=2592
liu yi fei 	劉亦菲	c=3 d=2.10932 t=2592
lo 	咯	c=0 d=0.056836 t=2592
long hai 	龍海	c=5 d=2.13295 t=2592
lu jing 	路徑	c=9 d=0.759727 t=2592
luan qi ba zao 	亂七八糟	c=1 d=0.0880368 t=2592
luo ji 	邏輯	c=7 d=2.04019 t=2592
luo ji you guan xi 	邏輯有關係	c=1 d=1 t=2592
ma 	嗎	c=26 d=3.857 t=2592
ma fan 	麻煩	c=1 d=1 t=2592
ma ma 	媽媽	c=1 d=1 t=2592
ma shang 	馬上	c=1 d=1 t=2592
mai 	買	c=0 d=0.1 t=2592
mai de 	買的	c=0 d=0.00305009 t=2592
mai de shi hou 	買的時候	c=1 d=0.0306538 t=2592
mai zhe 	邁着	c=0 d=0.1 t=2592
mai zhe wan yi gan nan ma 	邁着萬一甘南嗎	c=1 d=1 t=2592
man heng 	蠻橫	c=0 d=0.00420036 t=2592
mang 	忙	c=0 d=0.1 t=2592
mao hao 	冒號	c=4 d=0.830104 t=2592
mao pi 	毛皮	c=1 d=1 t=2592
mao si 	貌似	c=1 d=0.25924 t=2592
me 	麼	c=1 d=1 t=2592
mei 	沒	c=6 d=0.828371 t=2592
mei ban fa 	沒辦法	c=1 d=0.017249 t=2592
mei ci 	每次	c=1 d=0.104784 t=2592
mei ci dou shi 	每次都是	c=1 d=0.0898153 t=2592
mei da ru 	沒打入	c=2 d=0.341492 t=2592
mei ding ne 	沒定呢	c=1 d=1 t=2592
mei dui shang 	沒對上	c=1 d=0.102284 t=2592
mei fa 	沒法	c=1 d=1 t=2592
mei gan jue 	沒感覺	c=1 d=0.810584 t=2592
mei ge 	每個	c=1 d=0.0372538 t=2592
mei guan xi 	沒關係	c=2 d=0.0398723 t=2592
mei ji ge 	沒幾個	c=1 d=1 t=2592
mei jin 	美金	c=1 d=0.0274607 t=2592
mei kan dao 	沒看到	c=1 d=1 t=2592
mei shang 	沒上	c=0 d=0.1 t=2592
mei shang chuan wan de 	沒上傳完的	c=1 d=1 t=2592
mei sheng xiao 	沒生效	c=3 d=1.76368 t=2592
mei shi 	沒事	c=1 d=0.585669 t=2592
mei tian 	每天	c=1 d=0.831104 t=2592
mei wen ti 	沒問題	c=4 d=0.631916 t=2592
mei wen ti de 	沒問題的	c=1 d=1 t=2592
mei xin xi 	沒信息	c=1 d=1 t=2592
mei yan jiu 	沒研究	c=1 d=0.460704 t=2592
mei yi 	每一	c=0 d=0.1 t=2592
mei yi hang 	每一行	c=1 d=1 t=2592
mei you 	沒有	c=9 d=1.79843 t=2592
mei you dong 	沒有動	c=1 d=1 t=2592
mei yu 	梅雨	c=0 d=0.00620385 t=2592
mei yu dao 	沒遇到	c=1 d=0.0629761 t=2592
mei yu dao guo de hua 	梅雨到過的話	c=1 d=0.0623495 t=2592
mei zhao dao 	沒找到	c=2 d=0.142308 t=2592
mei zhun 	沒準	c=1 d=0.890571 t=2592
mei zhun shi ta men zuo de 	沒準是他們做的	c=1 d=1 t=2592
men 	們	c=0 d=0.1 t=2592
mian de 	麪的	c=2 d=1.9802 t=2592
mian le 	免了	c=1 d=1 t=2592
mian shi 	面試	c=3 d=1.2669 t=2592
miao 	秒	c=0 d=0.088692 t=2592
miao chu lai 	秒出來	c=1 d=0.891366 t=2592
miao le 	秒了	c=1 d=0.0639279 t=2592
ming 	名	c=1 d=1 t=2592
ming bai 	明白	c=1 d=0.343009 t=2592
ming ling 	命令	c=12 d=0.148631 t=2592
ming ling hang 	命令行	c=1 d=1 t=2592
ming tian 	明天	c=3 d=0.951229 t=2592
mo ren 	默認	c=1 d=0.264477 t=2592
mo shi 	模式	c=2 d=1.10228 t=2592
mou 	某	c=5 d=2.3981 t=2592
mou ci 	某次	c=1 d=1 t=2592
mou ge 	某個	c=4 d=2.08363 t=2592
mou kuai 	某塊	c=1 d=0.970446 t=2592
mou xie 	某些	c=1 d=0.0675424 t=2592
mou xiu gai 	某修改	c=1 d=1 t=2592
mu lu 	目錄	c=9 d=0.894672 t=2592
mu qian 	目前	c=6 d=0.569716 t=2592
na 	那	c=1 d=0.442227 t=2592
na bian 	那邊	c=1 d=1 t=2592
na dao 	拿到	c=1 d=0.401752 t=2592
na dao de 	拿到的	c=1 d=0.377192 t=2592
na ge 	哪個	c=1 d=1 t=2592
na ge 	那個	c=11 d=1.43021 t=2592
na jiu 	那就	c=0 d=0.0794534 t=2592
na jiu cha zhe ge 	那就差這個	c=1 d=1 t=2592
na ke neng 	那可能	c=1 d=0.0658748 t=2592
na me 	那麼	c=1 d=0.774916 t=2592
na ni 	那你	c=0 d=0.1 t=2592
na ni guo le mei 	那你過了沒	c=1 d=1 t=2592
na shou 	那首	c=1 d=0.677057 t=2592
na wo 	拿我	c=1 d=0.0277367 t=2592
na wo 	那我	c=1 d=0.0280154 t=2592
na wo jiu 	那我就	c=0 d=0.1 t=2592
na wo jiu hao qi le 	那我就好奇了	c=1 d=1 t=2592
na xu qiu shi 	那需求是	c=1 d=0.018043 t=2592
na ye 	那也	c=0 d=0.00639279 t=2592
na ye xing le 	那也行了	c=1 d=0.0642483 t=2592
nan jing 	南京	c=1 d=0.878095 t=2592
ne 	呢	c=5 d=0.537178 t=2592
nei lian 	內聯	c=3 d=2.93635 t=2592
nei rong 	內容	c=3 d=1.0232 t=2592
neng 	能	c=8 d=1.10769 t=2592
neng mai 	能賣	c=0 d=0.1 t=2592
neng mai duo shao 	能賣多少	c=1 d=1 t=2592
ni 	你	c=15 d=6.13752 t=2592
ni bu shi 	你不是	c=1 d=1 t=2592
ni de 	你的	c=1 d=0.0327124 t=2592
ni dei 	你得	c=1 d=1 t=2592
ni dian nao 	你電腦	c=1 d=0.0417941 t=2592
ni gai de 	你改得	c=1 d=0.798516 t=2592
ni hai zi 	你孩子	c=1 d=1 t=2592
ni hao 	你好	c=11 d=2.45753 t=2592
ni he 	你和	c=0 d=0.1 t=2592
ni he shei 	你和誰	c=1 d=1 t=2592
ni kan kan 	你看看	c=1 d=1 t=2592
ni kan wan le 	你看完了	c=1 d=1 t=2592
ni men 	你們	c=7 d=0.494301 t=2592
ni men shi 	你們是	c=1 d=1 t=2592
ni na bian 	你那邊	c=1 d=1 t=2592
ni shi 	你是	c=3 d=0.691702 t=2592
ni shu chu 	你輸出	c=1 d=1 t=2592
ni shuo 	你說	c=1 d=1 t=2592
ni xian 	你先	c=1 d=0.105928 t=2592
ni yi ge 	你一個	c=0 d=0.0778801 t=2592
ni yi ge yi ge 	你一個一個	c=1 d=0.782705 t=2592
ni you jie lun 	你有結論	c=1 d=0.798516 t=2592
ni zhe ge 	你這個	c=3 d=0.303498 t=2592
ni zhi dao 	你知道	c=1 d=1 t=2592
ni zi ji 	你自己	c=1 d=1 t=2592
nian 	年	c=2 d=0.151031 t=2592
ning le 	擰了	c=1 d=0.99005 t=2592
niu bi 	牛逼	c=1 d=1 t=2592
nong 	弄	c=1 d=1 t=2592
nong cuo 	弄錯	c=0 d=0.0222017 t=2592
nong cuo le ma 	弄錯了嗎	c=1 d=0.22313 t=2592
o 	哦	c=3 d=1.31648 t=2592
o cha jian 	哦插件	c=1 d=0.332871 t=2592
o le 	哦了	c=2 d=0.625002 t=2592
o o 	哦哦	c=13 d=1.58722 t=2592
ou 	偶	c=1 d=1 t=2592
ou niao 	鷗鳥	c=0 d=0.00248475 t=2592
ou niao gui hua an 	鷗鳥規劃案	c=1 d=0.024972 t=2592
ou xian 	偶現	c=5 d=0.349594 t=2592
ou xian de 	偶現的	c=2 d=0.192081 t=2592
pai 	拍	c=1 d=0.0278757 t=2592
pai cha 	排查	c=2 d=0.177309 t=2592
pai cha xia 	排查下	c=1 d=0.0281559 t=2592
pan duan 	判斷	c=2 d=1.13876 t=2592
pao 	跑	c=1 d=0.110835 t=2592
pao bu 	跑步	c=1 d=1 t=2592
pao tong 	跑通	c=1 d=1 t=2592
pao tong le 	跑通了	c=1 d=1 t=2592
pei 	配	c=1 d=0.995012 t=2592
pei zhi 	配置	c=9 d=0.711899 t=2592
pi pei 	匹配	c=4 d=0.126818 t=2592
pin 	品	c=0 d=0.1 t=2592
pin duo duo 	品多多	c=1 d=1 t=2592
pin jie 	拼接	c=5 d=2.06143 t=2592
ping gu 	評估	c=1 d=1 t=2592
ping heng 	平衡	c=2 d=1.9802 t=2592
ping shi 	平時	c=1 d=1 t=2592
qi 	起	c=1 d=1 t=2592
qi dong 	啓動	c=1 d=1 t=2592
qi lai 	起來	c=1 d=0.456133 t=2592
qi shi 	其實	c=3 d=0.840252 t=2592
qi ta 	其他	c=4 d=0.625291 t=2592
qian ming 	簽名	c=1 d=0.0176857 t=2592
qian ti 	前提	c=1 d=0.38868 t=2592
qian zhui 	前綴	c=1 d=1 t=2592
qiang 	強	c=0 d=0.1 t=2592
qiang yi lai yu 	強依賴於	c=1 d=1 t=2592
qiang zhi 	強制	c=2 d=0.506779 t=2592
qie 	且	c=1 d=0.718924 t=2592
qie 	切	c=1 d=0.179066 t=2592
qie dao 	切到	c=0 d=0.00473589 t=2592
qie dao le 	切到了	c=1 d=0.0475963 t=2592
qie huan 	切換	c=4 d=1.2933 t=2592
qing 	請	c=0 d=0.1 t=2592
qing jiao 	請教	c=0 d=0.1 t=2592
qing jiao xia 	請教下	c=1 d=1 t=2592
qing kong 	清空	c=0 d=0.00332068 t=2592
qing kong yi xia 	清空一下	c=1 d=0.0333733 t=2592
qing qiu 	請求	c=1 d=1 t=2592
qing yu nian 	請餘年	c=1 d=1 t=2592
qing zai 	請在	c=1 d=1 t=2592
qu 	去	c=1 d=1 t=2592
qu le 	去了	c=0 d=0.0790571 t=2592
quan shi 	全是	c=1 d=0.319819 t=2592
que ding 	確定	c=0 d=0.00459593 t=2592
qun mian 	羣麪	c=1 d=1 t=2592
ran hou 	然後	c=9 d=0.933064 t=2592
ran shen 	然神	c=1 d=1 t=2592
rang 	讓	c=4 d=1.42263 t=2592
rang da 	讓打	c=1 d=1 t=2592
rang ta 	讓他	c=1 d=1 t=2592
rang ta men 	讓他們	c=1 d=0.786628 t=2592
re xiu 	熱修	c=3 d=1.72553 t=2592
ren 	人	c=1 d=1 t=2592
ren 	認	c=2 d=0.265803 t=2592
ren cai 	人才	c=1 d=0.0131019 t=2592
ren wu 	任務	c=2 d=1.97045 t=2592
ri zhi 	日誌	c=4 d=0.769035 t=2592
ri zi 	日子	c=0 d=0.1 t=2592
ru 	入	c=1 d=1 t=2592
ru 	如	c=1 d=1 t=2592
ru can 	入參	c=1 d=1 t=2592
ru gu 	入股	c=1 d=0.331211 t=2592
ru guo 	如果	c=5 d=0.948827 t=2592
ru he 	如何	c=18 d=2.21825 t=2592
san 	三	c=0 d=0.0752014 t=2592
san de 	三德	c=1 d=0.759572 t=2592
san de yan se 	三的顏色	c=1 d=0.755784 t=2592
san ge 	三個	c=2 d=0.0167392 t=2592
san jian 	三件	c=0 d=0.00144076 t=2592
san jian tao 	三件套	c=3 d=0.0489463 t=2592
sao 	掃	c=0 d=0.00306538 t=2592
sao zhe ge 	掃這個	c=1 d=0.0308074 t=2592
sha 	啥	c=0 d=0.00948935 t=2592
sha de 	啥的	c=1 d=0.0361528 t=2592
sha de 	殺得	c=1 d=0.0359725 t=2592
sha gong si 	啥公司	c=1 d=1 t=2592
sha shi hou 	啥時候	c=0 d=0.0612626 t=2592
sha shi hou bang mang 	啥時候幫忙	c=1 d=0.615697 t=2592
sha tan 	沙坦	c=1 d=0.965605 t=2592
sha tan 	沙灘	c=0 d=0.0951229 t=2592
sha tan di ping 	沙灘地平	c=1 d=0.955997 t=2592
sha ye 	啥也	c=0 d=0.1 t=2592
sha ye bu kan 	啥也不看	c=1 d=1 t=2592
sha yi si 	啥意思	c=1 d=0.18452 t=2592
sha yuan yin 	啥原因	c=2 d=0.0953692 t=2592
sha zhuang bei 	啥裝備	c=1 d=1 t=2592
shan chu 	刪除	c=6 d=4.68218 t=2592
shan diao 	刪掉	c=1 d=0.090718 t=2592
shang 	上	c=2 d=1.63763 t=2592
shang chuan 	上傳	c=1 d=1 t=2592
shang de 	上的	c=1 d=0.0420036 t=2592
shang qu le 	上去了	c=2 d=1.00203 t=2592
shao deng 	稍等	c=1 d=1 t=2592
she zhi 	設置	c=3 d=0.588605 t=2592
she zhi wei 	設置爲	c=0 d=0.1 t=2592
shei 	誰	c=1 d=0.464219 t=2592
shen er 	甚而	c=0 d=0.0044601 t=2592
shen me 	什麼	c=8 d=1.44299 t=2592
shen me yi si 	什麼意思	c=1 d=0.56836 t=2592
shen ti 	身體	c=0 d=0.1 t=2592
sheng cheng 	生成	c=3 d=1.48863 t=2592
sheng de 	生的	c=0 d=0.0865022 t=2592
sheng de shi hou 	生的時候	c=1 d=0.869358 t=2592
sheng ji 	升級	c=5 d=0.900046 t=2592
sheng ji yi xia 	升級一下	c=1 d=0.154896 t=2592
sheng xiao 	生效	c=1 d=0.0289384 t=2592
shi 	是	c=47 d=4.54195 t=2592
shi 	時	c=2 d=0.251565 t=2592
shi a 	是啊	c=1 d=0.960789 t=2592
shi ba 	是吧	c=1 d=1 t=2592
shi bai 	失敗	c=1 d=0.0972957 t=2592
shi bai yuan yin 	失敗原因	c=1 d=1 t=2592
shi bu 	是不	c=2 d=0.0685632 t=2592
shi bu shi 	是不是	c=11 d=2.07262 t=2592
shi bu shi jiu bu dui le 	是不是就不對了	c=1 d=1 t=2592
shi de 	是的	c=2 d=1.9802 t=2592
shi fou 	是否	c=8 d=3.04161 t=2592
shi fou cun zai 	是否存在	c=1 d=1 t=2592
shi gei 	是給	c=1 d=0.522046 t=2592
shi gen 	實根	c=1 d=0.111917 t=2592
shi gen 	是跟	c=1 d=0.113042 t=2592
shi he 	適合	c=0 d=0.1 t=2592
shi he ne mou 	適合呢某	c=1 d=1 t=2592
shi hou 	時候	c=2 d=0.924198 t=2592
shi jian 	事件	c=0 d=0.1 t=2592
shi jian 	時間	c=1 d=0.0780817 t=2592
shi jian chuo 	時間戳	c=1 d=1 t=2592
shi jie 	世界	c=1 d=1 t=2592
shi kong de 	是空的	c=1 d=1 t=2592
shi pei 	適配	c=5 d=0.97531 t=2592
shi pin 	視頻	c=1 d=1 t=2592
shi shei 	是誰	c=1 d=1 t=2592
shi shi 	試試	c=2 d=0.0497871 t=2592
shi ta 	是他	c=0 d=0.1 t=2592
shi xian 	實現	c=1 d=1 t=2592
shi xiang 	事項	c=1 d=0.67032 t=2592
shi yin wei 	是因爲	c=1 d=0.286505 t=2592
shi yong 	使用	c=1 d=1 t=2592
shi yong 	實用	c=1 d=0.65377 t=2592
shi you 	是有	c=0 d=0.1 t=2592
shi you shen me 	是有什麼	c=1 d=1 t=2592
shi zai na 	是在哪	c=1 d=1 t=2592
shi zhe li 	是這裏	c=1 d=0.217621 t=2592
shi zhi 	是指	c=1 d=1 t=2592
shou ji 	手機	c=1 d=0.0198411 t=2592
shou lian 	收斂	c=0 d=0.0465334 t=2592
shou lian qi lai 	收斂起來	c=1 d=0.467666 t=2592
shou shu 	手術	c=2 d=1.99501 t=2592
shou you 	手遊	c=1 d=1 t=2592
shu chu 	輸出	c=1 d=1.00885 t=2592
shu ju 	數據	c=2 d=1 t=2592
shu ru 	輸入	c=1 d=0.0608101 t=2592
shu ru fa 	輸入法	c=4 d=1.3006 t=2592
shu xi 	熟悉	c=0 d=0.1 t=2592
shu xi shu xi 	熟悉熟悉	c=1 d=1 t=2592
shu zi 	數字	c=1 d=1 t=2592
shu zu 	數組	c=1 d=1.056 t=2592
shua 	刷	c=0 d=0.0891366 t=2592
shui ping 	水平	c=1 d=0.574072 t=2592
shuo 	說	c=3 d=1.02089 t=2592
shuo ming 	說明	c=2 d=0.559695 t=2592
si jie 	思傑	c=1 d=1 t=2592
si liao 	私聊	c=1 d=1 t=2592
su zhu 	宿主	c=17 d=4.61375 t=2592
sui shou 	隨手	c=1 d=1.0802 t=2592
sui shou yi sou 	隨手一艘	c=1 d=1 t=2592
suo yi 	所以	c=8 d=1.36393 t=2592
suo yin 	索引	c=1 d=0.0356146 t=2592
suo you 	所有	c=5 d=1.42468 t=2592
ta 	他	c=3 d=0.0841437 t=2592
ta an zhao 	他按照	c=1 d=0.227638 t=2592
ta de 	他的	c=1 d=0.268942 t=2592
ta hui 	他會	c=1 d=1 t=2592
ta ji ge 	他幾個	c=1 d=0.123687 t=2592
ta men 	它們	c=2 d=0.036631 t=2592
ta ye hui 	他也會	c=1 d=0.0238732 t=2592
ta yuan lai 	他原來	c=1 d=1 t=2592
ta za da de 	他咋答的	c=1 d=1 t=2592
tai jiu 	太久	c=1 d=0.117068 t=2592
tai jiu 	太舊	c=1 d=0.119433 t=2592
tai lao le 	太老了	c=1 d=0.158817 t=2592
tai lei le 	太累了	c=3 d=2.06597 t=2592
tai ma fan 	太麻煩	c=0 d=0.00862936 t=2592
tai ma fan le 	太麻煩了	c=1 d=0.0867261 t=2592
tai nan le 	太難了	c=1 d=0.579842 t=2592
tai qiang le 	太強了	c=1 d=1 t=2592
tai xin 	太新	c=1 d=0.117655 t=2592
tai xin le 	太新了	c=1 d=0.115325 t=2592
tai yuan 	太原	c=2 d=1.97531 t=2592
tao 	套	c=1 d=0.0441576 t=2592
tao tai 	淘汰	c=1 d=1 t=2592
te shi tuan 	特使團	c=1 d=1 t=2592
te shu 	特殊	c=1 d=0.913931 t=2592
teng xun 	騰訊	c=1 d=1 t=2592
ti 	題	c=1 d=1 t=2592
ti gong 	提供	c=0 d=0.1 t=2592
ti gong le 	提供了	c=1 d=1 t=2592
ti huan 	替換	c=3 d=1.38827 t=2592
ti jiao 	提交	c=1 d=1 t=2592
ti sheng 	提升	c=1 d=1 t=2592
ti shi 	提示	c=2 d=0.0239928 t=2592
ti xu 	體恤	c=1 d=0.0845849 t=2592
tian 	天	c=1 d=1 t=2592
tian jia 	添加	c=1 d=1 t=2592
tian kong 	天空	c=0 d=0.1 t=2592
tian kong ma 	天空嗎	c=1 d=1 t=2592
tiao 	挑	c=1 d=1 t=2592
tiao ban 	跳板	c=2 d=1.99501 t=2592
tiao guo 	跳過	c=1 d=0.0213864 t=2592
tiao he 	跳河	c=1 d=1 t=2592
tiao jian 	條件	c=1 d=1 t=2592
tiao le 	跳了	c=1 d=1 t=2592
tiao shi 	調試	c=3 d=2.41309 t=2592
tiao zhuan 	跳轉	c=3 d=0.107639 t=2592
ting 	聽	c=1 d=0.70822 t=2592
ting hao de 	挺好的	c=1 d=0.818731 t=2592
ting ting 	聽聽	c=1 d=0.697676 t=2592
ting wan 	聽完	c=1 d=0.782705 t=2592
ting zhe 	聽着	c=1 d=0.722527 t=2592
tong bu 	同步	c=0 d=0.0798516 t=2592
tong bu wo 	同步我	c=1 d=0.802519 t=2592
tong guo 	通過	c=5 d=1.04317 t=2592
tong le 	通了	c=0 d=0.1 t=2592
tong xue 	同學	c=1 d=1 t=2592
tong yang de 	同樣地	c=1 d=1 t=2592
tong yi ge 	同一個	c=1 d=1 t=2592
tu 	吐	c=1 d=0.83527 t=2592
tu 	圖	c=2 d=1.17962 t=2592
tu xing 	圖形	c=2 d=1.99501 t=2592
tu yi 	圖一	c=1 d=0.0531307 t=2592
tuan ben 	團本	c=1 d=1 t=2592
wa er te 	瓦爾特	c=0 d=0.0299692 t=2592
wan 	完	c=1 d=1.00235 t=2592
wan 	玩	c=1 d=0.737123 t=2592
wan 	萬	c=0 d=0.1 t=2592
wan cheng 	完成	c=3 d=2.12704 t=2592
wan dian 	晚點	c=1 d=1 t=2592
wan lao ban 	萬老闆	c=1 d=1 t=2592
wan le 	完了	c=2 d=0.612682 t=2592
wan quan 	完全	c=2 d=1.02612 t=2592
wan yi 	萬一	c=0 d=0.1 t=2592
wang le 	忘了	c=1 d=0.431711 t=2592
wei 	爲	c=5 d=0.407001 t=2592
wei hu 	維護	c=2 d=1.24293 t=2592
wei kong 	爲空	c=2 d=1.06361 t=2592
wei le 	爲了	c=1 d=1 t=2592
wei sha 	爲啥	c=0 d=0.0184525 t=2592
wei sha yao 	爲啥要	c=1 d=0.0163259 t=2592
wei xin 	微信	c=1 d=0.0135686 t=2592
wen ben 	文本	c=1 d=1 t=2592
wen dang 	文檔	c=2 d=1.02975 t=2592
wen guo 	問過	c=0 d=0.1 t=2592
wen guo bie ren de wen ti 	問過別人的問題	c=1 d=1 t=2592
wen jian 	文件	c=23 d=1.28406 t=2592
wen le 	問了	c=0 d=0.1 t=2592
wen le ma 	問了嗎	c=1 d=1 t=2592
wen ti 	問題	c=9 d=2.05127 t=2592
wen wen 	問問	c=1 d=0.00608101 t=2592
wen wen ni 	問問你	c=1 d=0.0611149 t=2592
wen xia 	問下	c=1 d=1 t=2592
wo 	我	c=13 d=2.03949 t=2592
wo bang 	我幫	c=0 d=0.1 t=2592
wo bang wo 	我幫我	c=1 d=1 t=2592
wo cao 	我操	c=1 d=1 t=2592
wo cheng gong 	我成功	c=1 d=1 t=2592
wo chi 	我喫	c=0 d=0.0937067 t=2592
wo chi de 	我喫的	c=1 d=0.941765 t=2592
wo chu zhong 	我初中	c=1 d=0.701173 t=2592
wo da 	我打	c=0 d=0.1 t=2592
wo da yi ge 	我打一個	c=1 d=1 t=2592
wo de 	我的	c=4 d=0.299816 t=2592
wo fa xian 	我發現	c=1 d=0.0290133 t=2592
wo gou wu 	我購物	c=1 d=1 t=2592
wo gui nv 	我閨女	c=1 d=1 t=2592
wo hai xiang 	我還想	c=1 d=0.826959 t=2592
wo ji de 	我記得	c=1 d=0.0558615 t=2592
wo ji de shi 	我記得是	c=1 d=0.211189 t=2592
wo jin tian 	我今天	c=1 d=0.891366 t=2592
wo jiu 	我就	c=0 d=0.1 t=2592
wo jiu xiang kan kan 	我就想看看	c=1 d=1 t=2592
wo kan kan 	我看看	c=2 d=0.538003 t=2592
wo kan le xia 	我看了下	c=1 d=0.071719 t=2592
wo li jie xu yao 	我理解需要	c=1 d=1 t=2592
wo mei 	我沒	c=2 d=1.70822 t=2592
wo men 	我們	c=3 d=0.0325381 t=2592
wo ming tian 	我明天	c=1 d=1 t=2592
wo shi 	我是	c=2 d=1.99501 t=2592
wo shi shi 	我試試	c=1 d=1 t=2592
wo suo 	我所	c=0 d=0.1 t=2592
wo suo you de 	我所有的	c=1 d=1 t=2592
wo xian zai 	我現在	c=1 d=1 t=2592
wo xiang 	我想	c=2 d=1.0535 t=2592
wo xiang de 	我想的	c=1 d=0.0405589 t=2592
wo xiang gao yi ge 	我想搞一個	c=1 d=1 t=2592
wo xiang mu 	我項目	c=1 d=0.0569831 t=2592
wo ye 	我也	c=0 d=0.1 t=2592
wo ye bu 	我也不	c=0 d=0.118919 t=2592
wo ye bu liao jie 	我也不瞭解	c=1 d=1 t=2592
wo ye bu mai 	我也不買	c=1 d=1 t=2592
wo ye bu tu 	我也不圖	c=1 d=1 t=2592
wo yi qian 	我以前	c=1 d=0.0893673 t=2592
wo yi si 	我意思	c=1 d=0.767206 t=2592
wo yi wei 	我以爲	c=1 d=1 t=2592
wo yi zhi 	我一直	c=1 d=0.275271 t=2592
wo yong 	我用	c=1 d=1 t=2592
wo yong de 	我用的	c=2 d=0.278323 t=2592
wo yong de zhe ge 	我用的這個	c=1 d=1 t=2592
wo you 	我有	c=0 d=0.1 t=2592
